artificial83	29
artificial43	29
artificial52	38
artificial01	28
artificial77	28
artificial90	30
artificial71	30
artificial00	28
artificial92	35
artificial58	30
artificial08	28
artificial20	30
artificial72	28
artificial12	29
artificial36	34
artificial57	29
artificial62	31
artificial28	30
artificial75	31
artificial81	31
artificial18	32
artificial60	28
artificial97	30
artificial66	30
artificial89	34
artificial17	30
artificial68	30
artificial40	34
artificial32	28
artificial33	31
artificial11	29
artificial41	34
artificial03	28
artificial06	30
artificial51	30
artificial67	30
artificial96	31
artificial04	31
artificial27	30
artificial13	29
artificial15	30
artificial46	30
artificial65	30
artificial14	31
artificial24	29
artificial37	34
artificial16	29
artificial29	28
artificial38	30
artificial23	32
artificial49	31
artificial73	30
artificial94	30
artificial10	31
artificial44	30
artificial69	28
artificial39	28
artificial74	32
artificial21	30
artificial53	38
artificial55	30
artificial48	29
artificial82	31
artificial87	33
artificial99	30
artificial80	30
artificial19	32
artificial47	30
artificial76	30
artificial56	39
artificial09	30
artificial07	32
artificial42	30
artificial79	30
artificial59	28
artificial50	33
artificial95	30
artificial35	28
artificial25	32
artificial05	28
artificial85	31
artificial45	30
artificial64	32
artificial02	28
artificial30	29
artificial22	34
artificial63	30
artificial84	31
artificial88	30
artificial34	31
artificial93	30
artificial54	38
artificial26	30
artificial86	33
artificial91	29
artificial70	29
artificial98	30
artificial61	30
artificial78	28
artificial31	30
