artificial83	5
artificial43	5
artificial52	14
artificial01	4
artificial77	4
artificial90	6
artificial71	6
artificial00	4
artificial92	11
artificial58	6
artificial08	4
artificial20	6
artificial72	4
artificial12	5
artificial36	10
artificial57	5
artificial62	7
artificial28	6
artificial75	7
artificial81	7
artificial18	8
artificial60	4
artificial97	6
artificial66	6
artificial89	10
artificial17	6
artificial68	6
artificial40	10
artificial32	4
artificial33	7
artificial11	5
artificial41	10
artificial03	4
artificial06	6
artificial51	6
artificial67	6
artificial96	7
artificial04	7
artificial27	6
artificial13	5
artificial15	6
artificial46	6
artificial65	6
artificial14	7
artificial24	5
artificial37	10
artificial16	5
artificial29	4
artificial38	6
artificial23	8
artificial49	7
artificial73	6
artificial94	6
artificial10	7
artificial44	6
artificial69	4
artificial39	4
artificial74	8
artificial21	6
artificial53	14
artificial55	6
artificial48	5
artificial82	7
artificial87	9
artificial99	6
artificial80	6
artificial19	8
artificial47	6
artificial76	6
artificial56	15
artificial09	6
artificial07	8
artificial42	6
artificial79	6
artificial59	4
artificial50	9
artificial95	6
artificial35	4
artificial25	8
artificial05	4
artificial85	7
artificial45	6
artificial64	8
artificial02	4
artificial30	5
artificial22	10
artificial63	6
artificial84	7
artificial88	6
artificial34	7
artificial93	6
artificial54	14
artificial26	6
artificial86	9
artificial91	5
artificial70	5
artificial98	6
artificial61	6
artificial78	4
artificial31	6
