artificial83	23
artificial43	23
artificial52	32
artificial01	22
artificial77	22
artificial90	24
artificial71	24
artificial00	22
artificial92	29
artificial58	24
artificial08	22
artificial20	24
artificial72	22
artificial12	23
artificial36	28
artificial57	23
artificial62	25
artificial28	24
artificial75	25
artificial81	25
artificial18	26
artificial60	22
artificial97	24
artificial66	24
artificial89	28
artificial17	24
artificial68	24
artificial40	28
artificial32	22
artificial33	25
artificial11	23
artificial41	28
artificial03	22
artificial06	24
artificial51	24
artificial67	24
artificial96	25
artificial04	25
artificial27	24
artificial13	23
artificial15	24
artificial46	24
artificial65	24
artificial14	25
artificial24	23
artificial37	28
artificial16	23
artificial29	22
artificial38	24
artificial23	26
artificial49	25
artificial73	24
artificial94	24
artificial10	25
artificial44	24
artificial69	22
artificial39	22
artificial74	26
artificial21	24
artificial53	32
artificial55	24
artificial48	23
artificial82	25
artificial87	27
artificial99	24
artificial80	24
artificial19	26
artificial47	24
artificial76	24
artificial56	33
artificial09	24
artificial07	26
artificial42	24
artificial79	24
artificial59	22
artificial50	27
artificial95	24
artificial35	22
artificial25	26
artificial05	22
artificial85	25
artificial45	24
artificial64	26
artificial02	22
artificial30	23
artificial22	28
artificial63	24
artificial84	25
artificial88	24
artificial34	25
artificial93	24
artificial54	32
artificial26	24
artificial86	27
artificial91	23
artificial70	23
artificial98	24
artificial61	24
artificial78	22
artificial31	24
