^.yp,675,199325,269088750
.yo$,15,199985,5999550
..yo.,569,199431,226952478
.ym$,1618,198382,641964152
^.yo,108,199892,43176672
..ym.,2696,197304,1063863168
..yn.,1320,198680,524515200
.yn$,24,199976,9598848
^.yn,380,199620,151711200
^.ym,457,199543,182382302
^.yl,448,199552,178798592
..yl.,2327,197673,919970142
.yk$,14,199986,5599608
^.yk,212,199788,84710112
^.yj,45,199955,17995950
..yk.,788,199212,313958112
.yl$,18,199982,7199352
..yj.,367,199633,146530622
.yj$,26,199974,10398648
.yh$,1,199999,399998
..yh.,99,199901,39580398
.yi$,392,199608,156492672
..yi.,354,199646,141349368
.yg$,4,199996,1599968
^.yh,61,199939,24392558
.yf$,0,200000,0
..yg.,676,199324,269486048
^.yg,250,199750,99875000
^.yi,23,199977,9198942
..yf.,139,199861,55561358
^.yf,27,199973,10798542
.yd$,8,199992,3199872
..yd.,531,199469,211836078
..ye.,505,199495,201489950
.ye$,12,199988,4799712
^.yd,301,199699,120218798
^.ye,62,199938,24792312
.yc$,7,199993,2799902
..yb.,845,199155,336571950
..yc.,3086,196914,1215353208
^.yb,154,199846,61552568
^.yc,461,199539,183974958
.yb$,1,199999,399998
..ya.,947,199053,377006382
.yz$,161,199839,64348158
..yz.,537,199463,214223262
^.ya,261,199739,104263758
.ya$,284,199716,113438688
^.yz,106,199894,42377528
.y.$,3545,196455,1392865950
.yy$,0,200000,0
^.y.,5736,194264,2228596608
..y..,22052,177948,7848218592
..yy.,2,199998,799992
.yy$,0,200000,0
.yw$,4,199996,1599968
..yy.,2,199998,799992
^.yy,0,200000,0
^.yy,0,200000,0
..yw.,936,199064,372647808
^.yw,33,199967,13197822
.yv$,2,199998,799992
..yv.,130,199870,51966200
^.yv,34,199966,13597688
.yu$,10,199990,3999800
..yu.,222,199778,88701432
^.yu,34,199966,13597688
.yt$,10,199990,3999800
^.yt,264,199736,105460608
..yt.,1250,198750,496875000
^.yq,0,200000,0
.ys$,701,199299,279417198
..ys.,2894,197106,1140849528
..yq.,3,199997,1199982
^.ys,620,199380,247231200
.yq$,0,200000,0
.yr$,18,199982,7199352
.yp$,13,199987,5199662
^.yr,681,199319,271472478
..yr.,1205,198795,479095950
..yp.,1528,198472,606530432
^.yp,675,199325,269088750
..yo.,569,199431,226952478
^.yo,108,199892,43176672
..yn.,1320,198680,524515200
.yn$,24,199976,9598848
.yo$,15,199985,5999550
^.yn,380,199620,151711200
.ym$,1618,198382,641964152
..ym.,2696,197304,1063863168
.yl$,18,199982,7199352
.yk$,14,199986,5599608
..yl.,2327,197673,919970142
^.ym,457,199543,182382302
..yk.,788,199212,313958112
^.yl,448,199552,178798592
.yj$,26,199974,10398648
^.yk,212,199788,84710112
..yj.,367,199633,146530622
^.yj,45,199955,17995950
.yh$,1,199999,399998
^.yh,61,199939,24392558
..yh.,99,199901,39580398
.yi$,392,199608,156492672
.yg$,4,199996,1599968
..yi.,354,199646,141349368
^.yi,23,199977,9198942
..yg.,676,199324,269486048
^.yg,250,199750,99875000
..yf.,139,199861,55561358
.yf$,0,200000,0
^.yf,27,199973,10798542
..yd.,531,199469,211836078
.yd$,8,199992,3199872
.ye$,12,199988,4799712
^.yd,301,199699,120218798
..ye.,505,199495,201489950
.yc$,7,199993,2799902
^.ye,62,199938,24792312
.yb$,1,199999,399998
..yc.,3086,196914,1215353208
^.yc,461,199539,183974958
^.yb,154,199846,61552568
..yb.,845,199155,336571950
.ya$,284,199716,113438688
^.w.,584,199416,232917888
.w.$,1294,198706,514251128
..w..,12285,187715,4612157550
..ya.,947,199053,377006382
^.wz,1,199999,399998
.wz$,0,200000,0
..wz.,33,199967,13197822
^.ya,261,199739,104263758
..wy.,1265,198735,502799550
.wy$,190,199810,75927800
^.wy,18,199982,7199352
.wy$,190,199810,75927800
.ww$,0,200000,0
..wy.,1265,198735,502799550
^.wy,18,199982,7199352
..ww.,14,199986,5599608
^.ww,0,200000,0
..wv.,3,199997,1199982
.wv$,0,200000,0
^.wv,0,200000,0
.wu$,24,199976,9598848
..wu.,308,199692,123010272
^.wu,39,199961,15596958
.wt$,2,199998,799992
..wt.,29,199971,11598318
^.wt,1,199999,399998
..ws.,652,199348,259949792
.wq$,0,200000,0
.ws$,10,199990,3999800
..wq.,0,200000,0
^.ws,1,199999,399998
^.wq,0,200000,0
..wr.,97,199903,38781182
^.wr,2,199998,799992
.wr$,2,199998,799992
.wp$,0,200000,0
..wp.,28,199972,11198432
^.wp,0,200000,0
.wo$,53,199947,21194382
..wo.,703,199297,280211582
^.wo,40,199960,15996800
.wn$,15,199985,5999550
.wm$,1,199999,399998
..wn.,327,199673,130586142
^.wn,1,199999,399998
^.wm,2,199998,799992
..wm.,18,199982,7199352
.wk$,0,200000,0
.wl$,0,200000,0
..wl.,104,199896,41578368
..wk.,147,199853,58756782
.wj$,0,200000,0
..wj.,5,199995,1999950
^.wl,7,199993,2799902
^.wj,0,200000,0
^.wk,0,200000,0
..wh.,14,199986,5599608
.wh$,0,200000,0
^.wh,0,200000,0
.wi$,527,199473,210244542
..wi.,2278,197722,900821432
.wg$,0,200000,0
.wf$,0,200000,0
..wg.,14,199986,5599608
^.wi,189,199811,75528558
^.wf,0,200000,0
^.wg,0,200000,0
..wf.,10,199990,3999800
..wd.,33,199967,13197822
.wd$,3,199997,1199982
^.wd,1,199999,399998
.we$,207,199793,82714302
..we.,1860,198140,737080800
.wc$,0,200000,0
..wc.,168,199832,67143552
^.we,113,199887,45174462
.wb$,0,200000,0
..wb.,24,199976,9598848
^.wc,3,199997,1199982
^.wb,0,200000,0
.vz$,0,200000,0
..vz.,74,199926,29589048
^.vz,2,199998,799992
..wa.,5324,194676,2072910048
.v.$,1931,198069,764942478
..v..,19598,180402,7071036792
.wa$,260,199740,103864800
^.v.,1301,198699,517014798
^.vy,8,199992,3199872
..vy.,1238,198762,492134712
^.wa,166,199834,66344888
.vy$,149,199851,59555598
.vy$,149,199851,59555598
.vw$,0,200000,0
..vy.,1238,198762,492134712
^.vy,8,199992,3199872
..vw.,0,200000,0
^.vw,0,200000,0
.vv$,0,200000,0
..vv.,39,199961,15596958
^.vv,15,199985,5999550
.vu$,90,199910,35983800
^.vu,24,199976,9598848
..vu.,395,199605,157687950
..vt.,78,199922,31187832
.vt$,6,199994,2399928
.vq$,0,200000,0
^.vt,11,199989,4399758
..vq.,0,200000,0
.vs$,159,199841,63549438
^.vs,40,199960,15996800
..vs.,399,199601,159281598
^.vq,0,200000,0
..vr.,383,199617,152906622
.vr$,2,199998,799992
^.vr,37,199963,14797262
.vp$,1,199999,399998
..vp.,34,199966,13597688
^.vp,10,199990,3999800
.vo$,165,199835,65945550
^.vo,136,199864,54363008
..vo.,1667,198333,661242222
.vn$,4,199996,1599968
.vm$,47,199953,18795582
..vn.,375,199625,149718750
..vm.,42,199958,16796472
^.vn,9,199991,3599838
..vk.,127,199873,50767742
.vk$,0,200000,0
